meetingName,meetingDate,raceNumber,runnerNumber,Unnamed: 0,location,weatherCondition,trackCondition,raceName,raceStartTime,raceDistance,trackDirection,raceClassConditions,runnerName,riderName,finishingPosition,FixedWinOpen,FixedWinClose,overall (runner starts),track (runner starts),firm (runner starts),good (runner starts),dead (runner starts),slow (runner starts),soft (runner starts),heavy (runner starts),distance (runner starts),classSame (runner starts),classStronger (runner starts),firstUp (runner starts),secondUp (runner starts),trackDistance (runner starts),overall (runner wins),track (runner wins),firm (runner wins),good (runner wins),dead (runner wins),slow (runner wins),soft (runner wins),heavy (runner wins),distance (runner wins),classSame (runner wins),classStronger (runner wins),firstUp (runner wins),secondUp (runner wins),trackDistance (runner wins),overall (runner placings),track (runner placings),firm (runner placings),good (runner placings),dead (runner placings),slow (runner placings),soft (runner placings),heavy (runner placings),distance (runner placings),classSame (runner placings),classStronger (runner placings),firstUp (runner placings),secondUp (runner placings),trackDistance (runner placings),track (trainer starts),region (trainer starts),last30Days (trainer starts),last12Months (trainer starts),jockey (trainer starts),track (trainer wins),region (trainer wins),last30Days (trainer wins),last12Months (trainer wins),jockey (trainer wins),track (trainer placings),region (trainer placings),last30Days (trainer placings),last12Months (trainer placings),jockey (trainer placings),track (rider starts),region (rider starts),last30Days (rider starts),last12Months (rider starts),runner (rider starts),track (rider wins),region (rider wins),last30Days (rider wins),last12Months (rider wins),runner (rider wins),track (rider placings),region (rider placings),last30Days (rider placings),last12Months (rider placings),runner (rider placings)
SANDOWN,02/02/2022 12:00:00 AM,3,5,,,SHWRY,GOOD3,LADBROKES BLENDED BETS HANDICAP,02/02/2022 04:50:00 PM,1400,,3YB-64,IMA SHELBY,J.MOTT,4.0,10.0,19.0,2,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,17,164,65,576,35,2,21,9,71,6,5,35,17,138,11,24,143,55,760,1,1,11,5,76,1,2,19,13,173,0
SANDOWN,02/02/2022 12:00:00 AM,3,4,,,SHWRY,GOOD3,LADBROKES BLENDED BETS HANDICAP,02/02/2022 04:50:00 PM,1400,,3YB-64,DAYAN STAR,J.HILL,0.0,7.0,21.0,2,0,0,2,2,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,150,29,440,17,3,15,2,53,3,3,34,11,113,6,8,39,52,658,2,0,1,6,72,1,0,3,8,136,0
SANDOWN,02/02/2022 12:00:00 AM,3,6,,,SHWRY,GOOD3,LADBROKES BLENDED BETS HANDICAP,02/02/2022 04:50:00 PM,1400,,3YB-64,TITAN OF CHOICE,J.MC NEIL,3.0,8.0,5.0,6,0,0,2,3,1,3,1,0,1,0,2,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,0,0,1,0,0,1,0,7,55,19,210,18,1,3,3,26,5,0,11,5,42,6,29,402,71,748,0,2,45,9,104,0,8,109,17,207,0
SANDOWN,02/02/2022 12:00:00 AM,3,1,,,SHWRY,GOOD3,LADBROKES BLENDED BETS HANDICAP,02/02/2022 04:50:00 PM,1400,,3YB-64,POUNDING,L.MCNEIL,2.0,5.5,6.5,9,1,0,6,7,1,3,0,5,2,4,3,3,1,2,0,0,2,1,0,0,0,2,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,21,167,44,355,4,1,23,7,66,0,7,36,13,87,2,4,33,47,570,0,0,5,6,45,0,0,5,9,110,0
SANDOWN,02/02/2022 12:00:00 AM,4,3,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,SAVVY SOVEREIGN,Josh Richards,0.0,5.0,7.5,4,0,0,0,1,2,3,1,2,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,65,524,100,1543,119,7,81,21,302,26,21,148,21,433,27,29,201,54,770,1,3,29,10,99,0,4,34,11,152,0
SANDOWN,02/02/2022 12:00:00 AM,4,2,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,BEAU NIGHT,Craig Newitt,-2.0,6.0,9.0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,225,47,705,135,1,20,6,83,22,4,36,12,150,35,27,259,69,1002,1,4,16,9,94,1,1,35,10,175,0
SANDOWN,02/02/2022 12:00:00 AM,4,9,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,TYCOON RAFF,Will Price,0.0,23.0,23.0,8,0,0,4,4,4,4,0,4,2,1,3,2,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,5,17,3,68,0,2,3,1,7,0,2,7,2,22,0,42,254,20,576,0,3,22,1,48,0,10,43,4,113,0
SANDOWN,02/02/2022 12:00:00 AM,4,8,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,MAGNUS QUE CEE,Rhys McLeod,0.0,41.0,61.0,7,0,0,4,3,3,3,0,4,2,0,2,2,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,1,0,1,1,0,0,2,0,0,3,5,43,13,0,0,1,5,3,0,0,0,4,1,7,38,11,240,7,3,6,1,27,1,0,5,4,54,2
SANDOWN,02/02/2022 12:00:00 AM,4,10,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,SHE'S ORIGINAL,Alana Kelly,1.0,18.0,21.0,9,0,0,7,6,1,2,0,6,0,0,2,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,3,1,0,0,0,3,0,0,0,1,0,0,1,9,145,0,0,0,3,12,0,0,0,3,37,0,44,209,43,736,0,2,16,7,59,0,9,37,8,123,0
SANDOWN,02/02/2022 12:00:00 AM,4,5,,,SHWRY,GOOD3,LADBROKES BLENDED MULTIS HANDICAP,02/02/2022 05:25:00 PM,1200,,3Y+CL1,GRINZINGER PRINCE,Fred Kersley,3.0,11.0,8.0,4,0,0,2,2,1,1,1,0,0,1,3,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,24,283,59,626,58,2,28,8,73,6,6,76,25,166,16,10,135,38,417,1,0,10,4,35,1,2,17,11,89,0
